village,latitude,longitude
Njanakai,12.2120148,75.1631176
Varadarajapuram,12.9009223,80.0630804
Vennikulam,9.4020713,76.66772
Bengare,12.850139,74.826591
Aliyar,10.4883278,76.9698665
Ilavala,12.3571898,76.5407604
Kovalam,12.7877434,80.2509334
Agaram Then,12.8857308,80.1538452
Thazhankuppam,13.2271357,80.3281547
Hosakere,12.9972064,75.5979329
Jannapura,13.0809459,75.6838462
Kulisholai,11.4394762,76.6915976
Halaguru,12.4246475,77.2266035
Satanuru,12.4517062,77.3210491
Nitturu,13.3209216,76.8619846
Paparpatti,12.2101857,78.0560214
Hangala,11.7456585,76.6483465
Alagarkovil,10.0684403,78.2157093
Idukki,9.8497872,76.9797914
U-rèk-ka (Malacca),9.1745907,92.8256179
Mavanalla,11.5478834,76.674916
Melur,13.2594998,80.2718086
Chinna Echankuzhi,13.2230574,80.2721457
Nappalayam,13.2200327,80.2723775
Kosappur,13.1818301,80.2350982
Manamai,12.5877606,80.1499644
Puducheri,12.9519019,80.0428141
Poonthandalam,12.9642395,80.0497578
Kannadapalayam,12.9364016,80.1016425
Dharkas,12.9410443,80.0715416
Ettayapuram,12.9472093,80.0631045
Amarambedu,12.9575815,80.0194768
Somangalam,12.9482883,80.0341452
Nandambakkam,12.9803332,80.0643983
Shanti Nagar,12.983117,80.0578688
Varadarajapuram,13.0492242,80.0813499
Agaram Mel,13.0386468,80.0783201
Kanji,12.3839676,78.9617006
Rathinamangalam,12.8585268,80.1316425
Kandigai,12.8495031,80.1402727
Kovilanchery,12.8809951,80.1688055
