village,latitude,longitude
,16.6815989,75.1269916
Kokatanura,16.6903987,75.216656
Haraginadoni,15.1414064,76.7777237
Bhandiwada,15.3551121,75.2644087
Shishvinahalli,15.4223436,75.3227987
Saunshi,15.2042653,75.30426
Gudageri,15.122184,75.3648009
Basapura,15.2610725,75.2974993
Rottigawada,15.3145346,75.3692188
Yaliwala,15.1744988,75.1914348
Betadur,15.2267853,75.1868267
Machenahalli,15.1312778,75.6733029
Tambrahalli,15.1526707,76.1539655
Chilagodu,15.1275121,76.154528
Ramapura,14.8053888,76.2732909
Moraba,14.8566813,76.4038887
Magala,14.9954272,75.7962846
Uttangi,14.9868206,76.0390088
Rampura,12.1124199,76.5571064
Siddapura,15.5303959,76.6360869
Sulebhavi,15.8953415,74.6550619
Vanivilasapura,13.9033948,76.4932603
Bavagi,17.8401601,77.3693747
Mandakanaḷḷi,17.8467977,77.4197789
Ibrahimpura,15.5429609,75.4292684
Tirlapura,15.5477809,75.2462778
Alagawadi,15.6252803,75.2895666
Tyakal,12.9789489,78.0813127
Tadadi,14.525444,74.3535818
Bevuru,16.2082932,75.8911393
Gaddanakeri,16.1839171,75.6233867
Koncharu,12.9734577,74.8734006
Lakkundi,15.3899798,75.7171588
Suratura,15.2474664,75.6116761
Mailappanahalli,13.4246253,77.7054349
Halasuru,12.4332651,77.3177305
Muttatti,12.3067663,77.3109089
Bhuhalli,12.4090794,77.3102461
Shivanasamudra,12.2704944,77.1703161
Basavanahalli,12.3849966,77.2735641
Dodda Maralawadi,12.6104282,77.5256301
Koonala Doddi,12.5751336,77.5075544
,12.5840738,77.5728245
Kabbalu,12.5008805,77.3042748
Malagalu,12.544804,77.4310898
Hegganuru,12.3268757,77.41135
Thokkasandra,12.5877967,77.4902196
Harivesandra,13.3227593,76.9199977
Heruru,13.3087999,76.9245169
Hodaluru,13.2954136,76.8987458
Kadaba,13.2410947,76.8625622
Torehalli,13.2798236,76.9082574
Kittadakuppe,13.2988491,76.9142317
Honnashettihalli,13.2615577,76.8921422
Belavatta,13.2803206,76.8717624
Hulagola,14.7145422,74.814689
Napoklu,12.3058737,75.6884619
Kampalapura,12.3354455,76.159332
Chilkunda,12.338367,76.1873324
Kutta,11.9696155,76.0491296
Ponnampete,12.1443568,75.9421197
Hudikeri,12.085945,75.9406152
Srimangala,12.0186047,75.9892697
Mani,12.8353366,75.1220796
Achangi,12.9606147,75.7961602
Arehalli,13.0456896,75.8031377
Sundekere,12.9931269,75.789491
Gangapura,13.1353985,77.9468796
Tavarekere,13.1334356,77.9290602
Adavi Somapura,15.3911215,75.6568191
Muluru,13.2014543,74.7495583
Kapu,13.2306764,74.7484014
Ucchila,13.1867086,74.7589593
Katapady,13.2824436,74.7461953
Barkuru,13.4674306,74.7536442
Ardy,13.5226481,74.9729377
Mudubagilu,13.5637189,75.1497884
Mundkina Jaddu,13.4208736,74.8069551
Ulturu,13.5488787,74.7228287
Kirugunda,13.0462395,75.6833268
Koradi,13.0294197,75.6947829
Hirebylu,13.200417,75.4117112
Samse,13.1879829,75.3343192
Jodukatte,13.1992327,75.0175347
Anandapura,14.0771569,75.2124556
Rippanpete,13.9911155,75.2606713
Agumbe,13.5084827,75.0962575
Guddekeri,13.5665892,75.1287897
Kabaka,12.7865134,75.1568237
Mangalapadavu,12.7858158,75.0975562
Kalladka,12.8446896,75.0715995
Panemangaluru,12.8726788,75.0461226
Golikatte,12.8215183,75.118792
Kodangai,12.7743907,75.0670738
Suggatta,13.1453132,77.6037194
Channarayapatna,13.2455918,77.797084
Yaliyuru,13.2590186,77.7650965
Karinka,12.8034555,75.1157094
Virakamba,12.8184158,75.0821281
Kikkeri,12.7632226,76.4257051
Punjalakatte,12.9486472,75.1690868
Madantyaru,12.9497164,75.1875072
Halepete,12.9943124,75.3154181
Ujire,12.9954619,75.3301061
Mundaje,13.0295644,75.3745314
Guruvayanakere,12.9852908,75.252727
Krishnapura,15.3328313,76.4547704
Kedila,12.8054674,75.1662107
Manchi,12.8093381,75.0296263
Salethur,12.7901254,75.0215945
Neralakatte,12.8200527,75.1319134
Punacha,12.7248662,75.1525353
Alike,12.7318401,75.1035049
Palahalli,12.4095074,76.6538497
Jammanahalli,12.9225601,75.863571
Belagola,12.3931146,76.6060991
Majjigepura,12.407707,76.5894667
Hulikere,12.3950167,76.5818556
Hanumanthanadoddi,12.6047001,77.5624358
Chiranahalli,12.4987248,76.9182247
Mangala,12.4706207,76.9042598
Shamanewadi,16.5404877,74.4981451
Bedakihala,16.5377676,74.4850427
Madakirapura,14.2275864,76.4406648
Bhimasamudra,14.2017783,76.2543813
Cholachagudda,15.8723399,75.7203488
Surebana,15.8888955,75.3970615
Bommanakunte,14.2972094,76.8686411
Dharmapura,14.06473,76.8611182
,14.0586057,76.8140919
Lakkavalli,13.7017821,75.6559606
Timmalapura,13.808698,75.6918166
Malalichennenahalli,13.7671531,75.7467798
Taraganahalli,14.2611465,75.7146993
Haramagatta,14.0428651,75.6483423
Kuruva,14.1429758,75.6660088
